epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,968.181,0.33627,0.64787,0.28082,0.93998,0.97631,0.96543,0.99279,0.91957,0.97288,0.97439,0.99176,0.87995,0.36915,0.7542,0.27817,0.95562,0.0010001,0.0010001,0.0010001
103,977.648,0.34302,0.63852,0.28932,0.93731,0.98012,0.97403,0.99352,0.9258,0.9784,0.97037,0.99316,0.89748,0.34149,0.68075,0.25496,0.93083,0.0009902,0.0009902,0.0009902
104,987.118,0.3378,0.63754,0.2838,0.93159,0.97548,0.98272,0.99312,0.92871,0.97777,0.97755,0.99357,0.90283,0.35975,0.68583,0.27689,0.94437,0.0009803,0.0009803,0.0009803
105,996.578,0.33983,0.60728,0.28482,0.93805,0.97827,0.97778,0.99138,0.90136,0.98027,0.98156,0.99244,0.87607,0.38225,0.70144,0.277,0.9564,0.0009704,0.0009704,0.0009704
106,1006.08,0.34513,0.64892,0.29344,0.94143,0.97287,0.97408,0.99172,0.92391,0.96794,0.96914,0.98623,0.88816,0.34388,0.68397,0.27935,0.93065,0.0009605,0.0009605,0.0009605
107,1015.54,0.33403,0.63618,0.28075,0.93386,0.9784,0.97778,0.99209,0.9198,0.98176,0.98025,0.9931,0.89965,0.37096,0.6668,0.26325,0.96817,0.0009506,0.0009506,0.0009506
108,1025,0.34579,0.62904,0.29166,0.93912,0.97965,0.95112,0.98744,0.92007,0.97224,0.95141,0.98109,0.8899,0.38275,0.72076,0.29244,0.95156,0.0009407,0.0009407,0.0009407
109,1034.46,0.33517,0.60472,0.27958,0.93294,0.98558,0.97531,0.99316,0.92945,0.98059,0.97037,0.99262,0.89427,0.33964,0.66801,0.25963,0.93009,0.0009308,0.0009308,0.0009308
110,1044.14,0.33279,0.65141,0.28195,0.93768,0.9731,0.98239,0.99143,0.91403,0.97065,0.97992,0.98974,0.8786,0.37245,0.69832,0.28407,0.94681,0.0009209,0.0009209,0.0009209
111,1053.88,0.33315,0.62295,0.27336,0.93601,0.98509,0.97854,0.99264,0.91493,0.9826,0.97607,0.99155,0.88008,0.36975,0.69073,0.27338,0.95026,0.000911,0.000911,0.000911
112,1063.49,0.3408,0.63717,0.28425,0.94255,0.98024,0.97993,0.99274,0.91767,0.97778,0.97771,0.99359,0.87955,0.37071,0.69562,0.28707,0.95653,0.0009011,0.0009011,0.0009011
113,1073.13,0.32764,0.60532,0.2701,0.93142,0.9818,0.97531,0.99182,0.9204,0.97435,0.9679,0.98437,0.88016,0.39486,0.75231,0.28505,0.97374,0.0008912,0.0008912,0.0008912
114,1082.73,0.33517,0.61518,0.28121,0.93397,0.98951,0.98272,0.99423,0.93754,0.97751,0.98272,0.98592,0.89875,0.32346,0.69553,0.23772,0.90074,0.0008813,0.0008813,0.0008813
115,1092.3,0.32569,0.61239,0.26571,0.9336,0.98732,0.96093,0.99202,0.92156,0.98985,0.96339,0.99238,0.87976,0.35907,0.76784,0.27702,0.93765,0.0008714,0.0008714,0.0008714
116,1101.92,0.32989,0.62098,0.27459,0.93365,0.98497,0.97105,0.99395,0.92932,0.98247,0.96858,0.99151,0.89702,0.35309,0.6901,0.25203,0.94357,0.0008615,0.0008615,0.0008615
117,1111.51,0.32622,0.59983,0.27473,0.92995,0.97274,0.96903,0.99175,0.92789,0.97521,0.9715,0.99275,0.88517,0.3559,0.72911,0.26587,0.94945,0.0008516,0.0008516,0.0008516
118,1121.01,0.32213,0.5964,0.26827,0.93053,0.99193,0.98519,0.99463,0.92665,0.98512,0.98083,0.99416,0.89012,0.34759,0.72455,0.24927,0.92555,0.0008417,0.0008417,0.0008417
119,1130.53,0.32345,0.60548,0.26341,0.92504,0.98559,0.98272,0.99419,0.92956,0.98559,0.98272,0.99419,0.89837,0.33511,0.69805,0.24446,0.93475,0.0008318,0.0008318,0.0008318
120,1140.04,0.33345,0.59632,0.27675,0.93766,0.98892,0.98519,0.9944,0.92739,0.98149,0.97778,0.98846,0.88933,0.35028,0.77226,0.24362,0.9406,0.0008219,0.0008219,0.0008219
121,1149.6,0.31788,0.59137,0.26533,0.92236,0.98024,0.97998,0.99358,0.92751,0.97777,0.97751,0.99045,0.88348,0.34804,0.72569,0.27154,0.92592,0.000812,0.000812,0.000812
122,1159.26,0.32003,0.57678,0.26175,0.92438,0.98735,0.99012,0.99442,0.92512,0.97747,0.98025,0.99342,0.89283,0.34809,0.72914,0.25268,0.9487,0.0008021,0.0008021,0.0008021
123,1168.76,0.31997,0.58963,0.26295,0.92226,0.995,0.98226,0.99443,0.94055,0.995,0.98226,0.99443,0.90216,0.32477,0.65791,0.25627,0.89914,0.0007922,0.0007922,0.0007922
124,1178.29,0.32555,0.59742,0.28087,0.93413,0.98283,0.98943,0.99439,0.93442,0.98687,0.98025,0.99342,0.89958,0.3318,0.63561,0.26242,0.90619,0.0007823,0.0007823,0.0007823
125,1187.78,0.31386,0.571,0.26236,0.92487,0.98602,0.97284,0.9939,0.92844,0.98073,0.98025,0.994,0.8999,0.36952,0.64174,0.26198,0.97323,0.0007724,0.0007724,0.0007724
126,1197.31,0.31334,0.58274,0.25335,0.92654,0.98651,0.97778,0.99406,0.93023,0.98339,0.97531,0.99364,0.89222,0.3602,0.64922,0.265,0.94351,0.0007625,0.0007625,0.0007625
127,1206.86,0.32181,0.57876,0.26053,0.92369,0.9859,0.98519,0.99448,0.9266,0.98039,0.98751,0.99399,0.88311,0.33513,0.70523,0.24458,0.92775,0.0007526,0.0007526,0.0007526
128,1216.4,0.31414,0.57577,0.2579,0.92224,0.99747,0.97487,0.99443,0.93605,0.98464,0.98765,0.9944,0.90628,0.33827,0.62601,0.23728,0.91686,0.0007427,0.0007427,0.0007427
